"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 16 09:32:28 UTC 2026","Mon Mar 16 09:32:28 UTC 2026","21","tests","test_auth","","","","test_auth_response_schema","
    Test that the valid authentication response matches the expected JSON Schema.
    "
"passed","Mon Mar 16 09:32:29 UTC 2026","Mon Mar 16 09:32:29 UTC 2026","22","tests","test_booking_crud","","","","test_partial_update_totalprice","
    Test that a partial update (PATCH) of only the totalprice field works correctly.
    "
"passed","Mon Mar 16 09:32:29 UTC 2026","Mon Mar 16 09:32:29 UTC 2026","24","tests","test_contract","","","","test_put_booking_response_matches_schema","
    Test that the PUT /booking/:id response matches the booking schema.
    "
"passed","Mon Mar 16 09:32:30 UTC 2026","Mon Mar 16 09:32:30 UTC 2026","24","tests","test_negative","","","","test_partial_update_empty_body","
    BUG-003 — PATCH with empty body returns 200, should be 400.
    "
"passed","Mon Mar 16 09:32:29 UTC 2026","Mon Mar 16 09:32:29 UTC 2026","23","tests","test_booking_crud","","","","test_create_and_persist_to_db","
    Test that a created booking can be successfully inserted into and 
    retrieved from the local SQLite database.
    "
"passed","Mon Mar 16 09:32:29 UTC 2026","Mon Mar 16 09:32:29 UTC 2026","63","tests","test_booking_crud","","","","test_deleted_booking_returns_404","
    Test that a deleted booking cannot be retrieved and returns 404.
    "
"passed","Mon Mar 16 09:32:30 UTC 2026","Mon Mar 16 09:32:30 UTC 2026","0","tests","test_data_integrity","","","","test_db_firstname_not_null","
    Test that no bookings in the database have a NULL firstname.
    Uses Query 1.
    "
"passed","Mon Mar 16 09:32:29 UTC 2026","Mon Mar 16 09:32:29 UTC 2026","22","tests","test_booking_crud","","","","test_get_booking_returns_correct_data","
    Test that retrieving a booking by ID returns the correct data keys.
    "
"passed","Mon Mar 16 09:32:30 UTC 2026","Mon Mar 16 09:32:30 UTC 2026","22","tests","test_negative","","","","test_get_booking_with_string_id","
    Test that retrieving a booking using a string ID instead of integer returns 404.
    "
"passed","Mon Mar 16 09:32:30 UTC 2026","Mon Mar 16 09:32:30 UTC 2026","67","tests","test_data_integrity","","","","test_db_row_count_matches_inserts","
    Test that the database row count correctly reflects the number of inserts performed.
    Uses Query 4.
    "
"passed","Mon Mar 16 09:32:28 UTC 2026","Mon Mar 16 09:32:28 UTC 2026","21","tests","test_booking_crud","","","","test_create_booking_returns_200","
    Test that creating a new booking returns a 200 OK status code.
    (Note: API quirk uses 200 instead of 201).
    "
"passed","Mon Mar 16 09:32:28 UTC 2026","Mon Mar 16 09:32:28 UTC 2026","21","tests","test_auth","","","","test_empty_username_returns_bad_credentials","
    Test that providing an empty username returns a 200 OK 
    containing 'Bad credentials' message.
    "
"passed","Mon Mar 16 09:32:30 UTC 2026","Mon Mar 16 09:32:30 UTC 2026","1","tests","test_data_integrity","","","","test_db_totalprice_positive","
    Test that no bookings in the database have zero or negative totalprice.
    Uses Query 3.
    "
"passed","Mon Mar 16 09:32:30 UTC 2026","Mon Mar 16 09:32:30 UTC 2026","1","tests","test_data_integrity","","","","test_db_no_duplicate_booking_ids","
    Test that there are no duplicate booking_ids in the database.
    Uses Query 2.
    "
"passed","Mon Mar 16 09:32:28 UTC 2026","Mon Mar 16 09:32:28 UTC 2026","24","tests","test_booking_crud","","","","test_get_all_bookings_returns_list","
    Test that retrieving all booking IDs returns a non-empty list.
    "
"passed","Mon Mar 16 09:32:29 UTC 2026","Mon Mar 16 09:32:29 UTC 2026","30","tests","test_contract","","","","test_booking_all_required_fields_present","
    Test that the booking object contains all required fields as per schema.
    "
"passed","Mon Mar 16 09:32:28 UTC 2026","Mon Mar 16 09:32:28 UTC 2026","21","tests","test_booking_crud","","","","test_create_booking_response_has_bookingid","
    Test that the response of creating a booking includes the 'bookingid' key.
    "
"passed","Mon Mar 16 09:32:29 UTC 2026","Mon Mar 16 09:32:29 UTC 2026","21","tests","test_booking_crud","","","","test_get_nonexistent_booking_returns_404","
    Test that retrieving a non-existent booking ID returns a 404 Not Found.
    "
